Date,ICSA
2006-01-07,326000.0
2006-01-14,285000.0
2006-01-21,290000.0
2006-01-28,282000.0
2006-02-04,289000.0
2006-02-11,298000.0
2006-02-18,283000.0
2006-02-25,293000.0
2006-03-04,302000.0
2006-03-11,307000.0
2006-03-18,303000.0
2006-03-25,295000.0
2006-04-01,291000.0
2006-04-08,299000.0
2006-04-15,299000.0
2006-04-22,308000.0
2006-04-29,321000.0
2006-05-06,347000.0
2006-05-13,335000.0
2006-05-20,319000.0
2006-05-27,330000.0
2006-06-03,307000.0
2006-06-10,298000.0
2006-06-17,308000.0
2006-06-24,309000.0
2006-07-01,316000.0
2006-07-08,343000.0
2006-07-15,318000.0
2006-07-22,306000.0
2006-07-29,311000.0
2006-08-05,318000.0
2006-08-12,310000.0
2006-08-19,315000.0
2006-08-26,314000.0
2006-09-02,315000.0
2006-09-09,314000.0
2006-09-16,324000.0
2006-09-23,319000.0
2006-09-30,309000.0
2006-10-07,316000.0
2006-10-14,305000.0
2006-10-21,313000.0
2006-10-28,328000.0
2006-11-04,319000.0
2006-11-11,311000.0
2006-11-18,326000.0
2006-11-25,349000.0
2006-12-02,327000.0
2006-12-09,311000.0
2006-12-16,318000.0
2006-12-23,323000.0
2006-12-30,341000.0
2007-01-06,330000.0
2007-01-13,296000.0
2007-01-20,335000.0
2007-01-27,308000.0
2007-02-03,310000.0
2007-02-10,338000.0
2007-02-17,321000.0
2007-02-24,322000.0
2007-03-03,320000.0
2007-03-10,308000.0
2007-03-17,309000.0
2007-03-24,303000.0
2007-03-31,307000.0
2007-04-07,332000.0
2007-04-14,327000.0
2007-04-21,321000.0
2007-04-28,301000.0
2007-05-05,300000.0
2007-05-12,297000.0
2007-05-19,310000.0
2007-05-26,310000.0
2007-06-02,313000.0
2007-06-09,313000.0
2007-06-16,320000.0
2007-06-23,313000.0
2007-06-30,317000.0
2007-07-07,321000.0
2007-07-14,317000.0
2007-07-21,310000.0
2007-07-28,305000.0
2007-08-04,314000.0
2007-08-11,316000.0
2007-08-18,321000.0
2007-08-25,329000.0
2007-09-01,314000.0
2007-09-08,321000.0
2007-09-15,313000.0
2007-09-22,302000.0
2007-09-29,317000.0
2007-10-06,316000.0
2007-10-13,335000.0
2007-10-20,334000.0
2007-10-27,328000.0
2007-11-03,327000.0
2007-11-10,333000.0
2007-11-17,332000.0
2007-11-24,352000.0
2007-12-01,344000.0
2007-12-08,332000.0
2007-12-15,350000.0
2007-12-22,355000.0
2007-12-29,360000.0
2008-01-05,346000.0
2008-01-12,322000.0
2008-01-19,321000.0
2008-01-26,366000.0
2008-02-02,350000.0
2008-02-09,344000.0
2008-02-16,339000.0
2008-02-23,354000.0
2008-03-01,345000.0
2008-03-08,348000.0
2008-03-15,369000.0
2008-03-22,368000.0
2008-03-29,387000.0
2008-04-05,354000.0
2008-04-12,365000.0
2008-04-19,349000.0
2008-04-26,370000.0
2008-05-03,370000.0
2008-05-10,366000.0
2008-05-17,367000.0
2008-05-24,369000.0
2008-05-31,362000.0
2008-06-07,382000.0
2008-06-14,378000.0
2008-06-21,381000.0
2008-06-28,392000.0
2008-07-05,371000.0
2008-07-12,385000.0
2008-07-19,402000.0
2008-07-26,434000.0
2008-08-02,448000.0
2008-08-09,430000.0
2008-08-16,424000.0
2008-08-23,421000.0
2008-08-30,442000.0
2008-09-06,441000.0
2008-09-13,449000.0
2008-09-20,483000.0
2008-09-27,483000.0
2008-10-04,482000.0
2008-10-11,461000.0
2008-10-18,478000.0
2008-10-25,480000.0
2008-11-01,490000.0
2008-11-08,512000.0
2008-11-15,536000.0
2008-11-22,532000.0
2008-11-29,529000.0
2008-12-06,570000.0
2008-12-13,566000.0
2008-12-20,587000.0
2008-12-27,533000.0
2009-01-03,503000.0
2009-01-10,551000.0
2009-01-17,591000.0
2009-01-24,586000.0
2009-01-31,629000.0
2009-02-07,637000.0
2009-02-14,632000.0
2009-02-21,655000.0
2009-02-28,652000.0
2009-03-07,660000.0
