Date,Payroll Jobs,1M Change,12M Change
2000-01,128992.0,-2642.0,3295.0
2000-02,129655.0,663.0,2970.0
2000-03,130751.0,1096.0,3353.0
2000-04,131749.0,998.0,3206.0
2000-05,132705.0,956.0,3294.0
2000-06,133217.0,512.0,3079.0
2000-07,131998.0,-1219.0,2729.0
2000-08,132009.0,11.0,2685.0
2000-09,132677.0,668.0,2575.0
2000-10,133236.0,559.0,2199.0
2000-11,133600.0,364.0,2103.0
2000-12,133542.0,-58.0,1908.0
2001-01,130668.0,-2874.0,1676.0
2001-02,131334.0,666.0,1679.0
2001-03,131929.0,595.0,1178.0
2001-04,132335.0,406.0,586.0
2001-05,133042.0,707.0,337.0
2001-06,133420.0,378.0,203.0
2001-07,131932.0,-1488.0,-66.0
2001-08,131861.0,-71.0,-148.0
2001-09,132127.0,266.0,-550.0
2001-10,132329.0,202.0,-907.0
2001-11,132141.0,-188.0,-1459.0
2001-12,131759.0,-382.0,-1783.0
2002-01,128875.0,-2884.0,-1793.0
2002-02,129347.0,472.0,-1987.0
2002-03,129954.0,607.0,-1975.0
2002-04,130543.0,589.0,-1792.0
2002-05,131314.0,771.0,-1728.0
2002-06,131696.0,382.0,-1724.0
2002-07,130254.0,-1442.0,-1678.0
2002-08,130340.0,86.0,-1521.0
2002-09,130860.0,520.0,-1267.0
2002-10,131530.0,670.0,-799.0
2002-11,131651.0,121.0,-490.0
2002-12,131243.0,-408.0,-516.0
2003-01,128561.0,-2682.0,-314.0
2003-02,128978.0,417.0,-369.0
2003-03,129474.0,496.0,-480.0
2003-04,130132.0,658.0,-411.0
2003-05,130892.0,760.0,-422.0
2003-06,131222.0,330.0,-474.0
2003-07,129883.0,-1339.0,-371.0
2003-08,129936.0,53.0,-404.0
2003-09,130591.0,655.0,-269.0
2003-10,131384.0,793.0,-146.0
2003-11,131548.0,164.0,-103.0
2003-12,131368.0,-180.0,125.0
2004-01,128709.0,-2659.0,148.0
2004-02,129320.0,611.0,342.0
2004-03,130361.0,1041.0,887.0
2004-04,131477.0,1116.0,1345.0
2004-05,132380.0,903.0,1488.0
2004-06,132825.0,445.0,1603.0
2004-07,131664.0,-1161.0,1781.0
2004-08,131685.0,21.0,1749.0
2004-09,132400.0,715.0,1809.0
2004-10,133380.0,980.0,1996.0
2004-11,133631.0,251.0,2083.0
2004-12,133400.0,-231.0,2032.0
2005-01,130696.0,-2704.0,1987.0
2005-02,131519.0,823.0,2199.0
2005-03,132358.0,839.0,1997.0
2005-04,133572.0,1214.0,2095.0
2005-05,134385.0,813.0,2005.0
2005-06,135054.0,669.0,2229.0
2005-07,133993.0,-1061.0,2329.0
2005-08,134244.0,251.0,2559.0
2005-09,134871.0,627.0,2471.0
2005-10,135599.0,728.0,2219.0
2005-11,136157.0,558.0,2526.0
2005-12,135956.0,-201.0,2556.0
2006-01,133303.0,-2653.0,2607.0
2006-02,134228.0,925.0,2709.0
2006-03,135209.0,981.0,2851.0
2006-04,136123.0,914.0,2551.0
2006-05,136928.0,805.0,2543.0
2006-06,137432.0,504.0,2378.0
2006-07,136255.0,-1177.0,2262.0
2006-08,136462.0,207.0,2218.0
2006-09,137131.0,669.0,2260.0
2006-10,137831.0,700.0,2232.0
2006-11,138217.0,386.0,2060.0
2006-12,138106.0,-111.0,2150.0
2007-01,135317.0,-2789.0,2014.0
2007-02,136008.0,691.0,1780.0
2007-03,136906.0,898.0,1697.0
2007-04,137712.0,806.0,1589.0
2007-05,138655.0,943.0,1727.0
2007-06,139157.0,502.0,1725.0
2007-07,137760.0,-1397.0,1505.0
2007-08,137872.0,112.0,1410.0
2007-09,138437.0,565.0,1306.0
2007-10,139180.0,743.0,1349.0
2007-11,139492.0,312.0,1275.0
2007-12,139279.0,-213.0,1173.0
2008-01,136250.0,-3029.0,933.0
2008-02,136769.0,519.0,761.0
2008-03,137361.0,592.0,455.0
2008-04,137896.0,535.0,184.0
2008-05,138470.0,574.0,-185.0
2008-06,138665.0,195.0,-492.0
2008-07,137185.0,-1480.0,-575.0
2008-08,137077.0,-108.0,-795.0
2008-09,137130.0,53.0,-1307.0
2008-10,137425.0,295.0,-1755.0
2008-11,136743.0,-682.0,-2749.0
2008-12,135715.0,-1028.0,-3564.0
2009-01,132024.0,-3691.0,-4226.0
2009-02,131791.0,-233.0,-4978.0
2009-03,131658.0,-133.0,-5703.0
2009-04,131842.0,184.0,-6054.0
2009-05,132115.0,273.0,-6355.0
2009-06,131934.0,-181.0,-6731.0
2009-07,130336.0,-1598.0,-6849.0
2009-08,130215.0,-121.0,-6862.0
2009-09,130573.0,358.0,-6557.0
2009-10,131172.0,599.0,-6253.0
2009-11,131220.0,48.0,-5523.0
2009-12,130673.0,-547.0,-5042.0
2010-01,127804.0,-2869.0,-4220.0
2010-02,128239.0,435.0,-3552.0
2010-03,129073.0,834.0,-2585.0
2010-04,130196.0,1123.0,-1646.0
2010-05,131314.0,1118.0,-801.0
2010-06,131432.0,118.0,-502.0
2010-07,130094.0,-1338.0,-242.0
2010-08,130158.0,64.0,-57.0
2010-09,130652.0,494.0,79.0
2010-10,131624.0,972.0,452.0
2010-11,131930.0,306.0,710.0
2010-12,131624.0,-306.0,951.0
2011-01,128761.0,-2863.0,957.0
2011-02,129575.0,814.0,1336.0
2011-03,130481.0,906.0,1408.0
2011-04,131698.0,1217.0,1502.0
2011-05,132382.0,684.0,1068.0
2011-06,132871.0,489.0,1439.0
2011-07,131597.0,-1274.0,1503.0
2011-08,131872.0,275.0,1714.0
2011-09,132618.0,746.0,1966.0
2011-10,133541.0,923.0,1917.0
2011-11,133876.0,335.0,1946.0
2011-12,133701.0,-175.0,2077.0
2012-01,131095.0,-2606.0,2334.0
2012-02,132049.0,954.0,2474.0
