Date,U6
2007-01,8.3
2007-02,8.1
2007-03,8.0
2007-04,8.2
2007-05,8.2
2007-06,8.3
2007-07,8.4
2007-08,8.4
2007-09,8.4
2007-10,8.4
2007-11,8.5
2007-12,8.8
2008-01,9.1
2008-02,9.0
2008-03,9.1
2008-04,9.2
2008-05,9.7
2008-06,10.0
2008-07,10.5
2008-08,10.8
2008-09,11.1
2008-10,11.8
2008-11,12.7
2008-12,13.6
2009-01,14.1
2009-02,15.1
2009-03,15.8
2009-04,15.9
2009-05,16.5
2009-06,16.5
2009-07,16.4
2009-08,16.7
2009-09,16.7
2009-10,17.1
2009-11,17.1
2009-12,17.2
2010-01,16.6
2010-02,17.0
2010-03,17.1
2010-04,17.2
2010-05,16.7
2010-06,16.4
2010-07,16.4
2010-08,16.5
2010-09,16.9
2010-10,16.6
2010-11,16.9
2010-12,16.6
2011-01,16.1
2011-02,16.0
2011-03,16.0
2011-04,16.1
2011-05,15.9
2011-06,16.1
2011-07,15.9
2011-08,16.1
2011-09,16.4
2011-10,15.8
2011-11,15.6
2011-12,15.2
2012-01,15.1
2012-02,15.0
2012-03,14.6
2012-04,14.7
2012-05,14.8
2012-06,14.7
2012-07,14.7
2012-08,14.6
2012-09,14.8
2012-10,14.4
2012-11,14.4
2012-12,14.4
2013-01,14.5
2013-02,14.3
2013-03,13.9
2013-04,14.0
2013-05,13.9
2013-06,14.2
2013-07,13.8
2013-08,13.6
2013-09,13.5
2013-10,13.6
2013-11,13.1
2013-12,13.1
2014-01,12.6
2014-02,12.6
2014-03,12.7
2014-04,12.3
2014-05,12.3
2014-06,12.0
2014-07,12.1
2014-08,12.0
2014-09,11.7
2014-10,11.5
2014-11,11.4
2014-12,11.2
2015-01,11.2
2015-02,10.9
2015-03,10.9
2015-04,10.9
2015-05,10.9
2015-06,10.4
2015-07,10.3
2015-08,10.2
2015-09,10.0
2015-10,9.8
2015-11,10.0
2015-12,9.9
2016-01,9.7
2016-02,9.6
2016-03,9.8
2016-04,9.8
2016-05,9.9
2016-06,9.5
2016-07,9.6
2016-08,9.6
2016-09,9.7
2016-10,9.6
2016-11,9.4
2016-12,9.2
2017-01,9.2
2017-02,9.1
2017-03,8.8
2017-04,8.6
2017-05,8.6
2017-06,8.5
2017-07,8.5
2017-08,8.5
2017-09,8.3
2017-10,8.1
2017-11,8.0
2017-12,8.1
2018-01,8.0
2018-02,8.1
2018-03,8.0
2018-04,7.9
2018-05,7.8
2018-06,7.8
2018-07,7.5
2018-08,7.3
2018-09,7.5
2018-10,7.5
2018-11,7.6
2018-12,7.6
2019-01,8.0
2019-02,7.2
2019-03,7.4
2019-04,7.3
2019-05,7.2
2019-06,7.2
2019-07,6.9
2019-08,7.2
2019-09,6.9
2019-10,6.9
2019-11,6.8
2019-12,6.7
2020-01,6.9
2020-02,7.0
2020-03,8.7
2020-04,22.8
2020-05,21.2
2020-06,18.0
2020-07,16.5
2020-08,14.2
