Date,ICSA,in_millions
2020-03-07,211000.0,0.211
2020-03-14,282000.0,0.282
2020-03-21,3307000.0,3.307
2020-03-28,6867000.0,6.867
2020-04-04,6615000.0,6.615
2020-04-11,5237000.0,5.237
2020-04-18,4442000.0,4.442
2020-04-25,3867000.0,3.867
2020-05-02,3176000.0,3.176
2020-05-09,2687000.0,2.687
2020-05-16,2446000.0,2.446
2020-05-23,2123000.0,2.123
2020-05-30,1897000.0,1.897
2020-06-06,1566000.0,1.566
2020-06-13,1540000.0,1.54
2020-06-20,1482000.0,1.482
2020-06-27,1408000.0,1.408
2020-07-04,1310000.0,1.31
2020-07-11,1308000.0,1.308
2020-07-18,1422000.0,1.422
2020-07-25,1435000.0,1.435
2020-08-01,1191000.0,1.191
2020-08-08,971000.0,0.971
2020-08-15,1104000.0,1.104
2020-08-22,1011000.0,1.011
2020-08-29,884000.0,0.884
2020-09-05,893000.0,0.893
2020-09-12,866000.0,0.866
2020-09-19,873000.0,0.873
2020-09-26,849000.0,0.849
2020-10-03,767000.0,0.767
2020-10-10,842000.0,0.842
2020-10-17,787000.0,0.787
