Date,construction,constr 12M,constr 1M
2019-01,7452.0,,
2019-02,7423.0,,-29.0
2019-03,7443.0,,20.0
2019-04,7469.0,,26.0
2019-05,7478.0,,9.0
2019-06,7497.0,,19.0
2019-07,7504.0,,7.0
2019-08,7508.0,,4.0
2019-09,7524.0,,16.0
2019-10,7541.0,,17.0
2019-11,7539.0,,-2.0
2019-12,7555.0,,16.0
2020-01,7593.0,141.0,38.0
2020-02,7639.0,216.0,46.0
2020-03,7574.0,131.0,-65.0
2020-04,6556.0,-913.0,-1018.0
2020-05,7012.0,-466.0,456.0
2020-06,7171.0,-326.0,159.0
2020-07,7202.0,-302.0,31.0
2020-08,7219.0,-289.0,17.0
2020-09,7245.0,-279.0,26.0
