,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
fedGovt 12M,44000.0,53000.0,71000.0,70000.0,59000.0,54000.0,81000.0,305000.0,271000.0
eduHealth 12M,634000.0,668000.0,427000.0,-2241000.0,-1883000.0,-1371000.0,-1225000.0,-1113000.0,-1134000.0
profBusServ 12M,397000.0,386000.0,280000.0,-1972000.0,-1839000.0,-1569000.0,-1450000.0,-1302000.0,-1238000.0
leisureHosp 12M,312000.0,394000.0,-370000.0,-7958000.0,-6565000.0,-4593000.0,-3962000.0,-3861000.0,-3604000.0
retailTrade 12M,-28000.0,5000.0,-56000.0,-2344000.0,-1945000.0,-1082000.0,-829000.0,-567000.0,-434000.0
mfg 12M,19000.0,22000.0,-21000.0,-1340000.0,-1100000.0,-776000.0,-742000.0,-709000.0,-646000.0
financial 12M,147000.0,155000.0,120000.0,-155000.0,-142000.0,-127000.0,-133000.0,-122000.0,-88000.0
constr 12M,141000.0,216000.0,131000.0,-913000.0,-466000.0,-326000.0,-302000.0,-289000.0,-279000.0
wholesale 12M,59000.0,50000.0,42000.0,-357000.0,-337000.0,-287000.0,-313000.0,-303000.0,-291000.0
other 12M,82000.0,87000.0,-19000.0,-1313000.0,-1065000.0,-714000.0,-565000.0,-500000.0,-461000.0
transp 12M,94000.0,92000.0,77000.0,-490000.0,-518000.0,-452000.0,-404000.0,-318000.0,-255000.0
info 12M,51000.0,53000.0,37000.0,-236000.0,-284000.0,-289000.0,-297000.0,-270000.0,-248000.0
