Date,profBusServ,profBusServ 12M,profBusServ 1M
2019-01,21126.0,,
2019-02,21164.0,,38.0
2019-03,21176.0,,12.0
2019-04,21226.0,,50.0
2019-05,21253.0,,27.0
2019-06,21294.0,,41.0
2019-07,21337.0,,43.0
2019-08,21377.0,,40.0
2019-09,21402.0,,25.0
2019-10,21444.0,,42.0
2019-11,21481.0,,37.0
2019-12,21503.0,,22.0
2020-01,21523.0,397.0,20.0
2020-02,21550.0,386.0,27.0
2020-03,21456.0,280.0,-94.0
2020-04,19254.0,-1972.0,-2202.0
2020-05,19414.0,-1839.0,160.0
2020-06,19725.0,-1569.0,311.0
2020-07,19887.0,-1450.0,162.0
2020-08,20075.0,-1302.0,188.0
2020-09,20164.0,-1238.0,89.0
